2025-07-08 18:32:07,505 | INFO | main | Video saved to videos\bc360d052c007e65988018e1a241b9b1.mp4
2025-07-08 18:32:09,244 | INFO | extract_subtitles |  Already processed bc360d052c007e65988018e1a241b9b1, skipping...
2025-07-08 18:32:09,244 | INFO | main | Checking if features for bc360d052c007e65988018e1a241b9b1 already exist...
2025-07-08 18:32:09,260 | INFO | main | Features for bc360d052c007e65988018e1a241b9b1 already exist, skipping extraction....
2025-07-08 18:32:09,260 | INFO | main | Extracted features: {'genre': 'Romantic Drama', 'num_words': 39, 'num_sentences': 6, 'num_emotional_shifts': 2, 'num_conflict_scenes': 1, 'num_plot_twists': 1, 'num_drama_hooks': 2, 'material_id': 'bc360d052c007e65988018e1a241b9b1', 'length': 38}
2025-07-08 18:32:09,260 | INFO | main | Sending data to http://3.80.116.90:8000/v2/models/exposurenet/infer: {'genre': 'Romantic Drama', 'num_words': 39, 'num_sentences': 6, 'num_emotional_shifts': 2, 'num_conflict_scenes': 1, 'num_plot_twists': 1, 'num_drama_hooks': 2, 'length': 38}
2025-07-08 18:32:10,791 | INFO | main | Inference result: {'model_name': 'exposurenet', 'model_version': '1', 'outputs': [{'name': 'output_str', 'datatype': 'BYTES', 'shape': [1], 'data': ['Predicted class: 2']}]}
2025-07-08 18:35:45,988 | INFO | main | Video saved to videos\bc360d052c007e65988018e1a241b9b1.mp4
2025-07-08 18:35:46,095 | INFO | extract_subtitles |  Already processed bc360d052c007e65988018e1a241b9b1, skipping...
2025-07-08 18:35:46,095 | INFO | main | Checking if features for bc360d052c007e65988018e1a241b9b1 already exist...
2025-07-08 18:35:46,102 | INFO | main | Features for bc360d052c007e65988018e1a241b9b1 already exist, skipping extraction....
2025-07-08 18:35:46,104 | INFO | main | Extracted features: {'genre': 'Romantic Drama', 'num_words': 39, 'num_sentences': 6, 'num_emotional_shifts': 2, 'num_conflict_scenes': 1, 'num_plot_twists': 1, 'num_drama_hooks': 2, 'material_id': 'bc360d052c007e65988018e1a241b9b1', 'length': 38}
2025-07-08 18:35:46,106 | INFO | main | Sending data to http://3.80.116.90:8000/v2/models/exposurenet/infer: {'genre': 'Romantic Drama', 'num_words': 39, 'num_sentences': 6, 'num_emotional_shifts': 2, 'num_conflict_scenes': 1, 'num_plot_twists': 1, 'num_drama_hooks': 2, 'length': 38}
2025-07-08 18:35:47,505 | INFO | main | Response:
2025-07-08 18:35:47,508 | INFO | main | Inference result: {'model_name': 'exposurenet', 'model_version': '1', 'outputs': [{'name': 'output_str', 'datatype': 'BYTES', 'shape': [1], 'data': ['Predicted class: 2']}]}
2025-07-08 18:44:34,847 | INFO | main | Video saved to videos\bc360d052c007e65988018e1a241b9b1.mp4
2025-07-08 18:44:34,890 | INFO | extract_subtitles |  Already processed bc360d052c007e65988018e1a241b9b1, skipping...
2025-07-08 18:44:34,890 | INFO | main | Checking if features for bc360d052c007e65988018e1a241b9b1 already exist...
2025-07-08 18:44:34,891 | INFO | main | Features for bc360d052c007e65988018e1a241b9b1 already exist, skipping extraction....
2025-07-08 18:44:34,892 | INFO | main | Extracted features: {'genre': 'Romantic Drama', 'num_words': 39, 'num_sentences': 6, 'num_emotional_shifts': 2, 'num_conflict_scenes': 1, 'num_plot_twists': 1, 'num_drama_hooks': 2, 'material_id': 'bc360d052c007e65988018e1a241b9b1', 'length': 38}
2025-07-08 18:44:34,892 | INFO | main | Sending data to http://3.80.116.90:8000/v2/models/exposurenet/infer: {'genre': 'Romantic Drama', 'num_words': 39, 'num_sentences': 6, 'num_emotional_shifts': 2, 'num_conflict_scenes': 1, 'num_plot_twists': 1, 'num_drama_hooks': 2, 'length': 38}
2025-07-08 18:44:35,437 | INFO | main | Response:
2025-07-08 18:44:35,438 | INFO | main | Inference result: {'model_name': 'exposurenet', 'model_version': '1', 'outputs': [{'name': 'output_str', 'datatype': 'BYTES', 'shape': [1], 'data': ['Predicted class: 2']}]}
2025-07-08 18:45:04,954 | WARNING | main | File exceeds size limit.
2025-07-08 18:47:23,189 | WARNING | main | File exceeds size limit.
